Time,All in employment2,Public sector3,Private sector,"Agriculture, forestry & fishing","Mining, energy and water supply",Manufacturing,Construction,"Wholesale, retail & repair of motor vehicles",Transport & storage,Accommodation & food services,Information & communication,Financial & insurance activities,Real estate activities,"Professional, scientific & technical activities",Administrative & support services,Public admin & defence; social security,Education,Human health & social work activities,Other services
Jan-Mar 1995,"25,517",,,,,,,,,,,,,,,,,,
Apr-Jun 1995,"25,711",,,,,,,,,,,,,,,,,,
Jul-Sep 1995,"25,998",,,,,,,,,,,,,,,,,,
Oct-Dec 1995,"26,031",,,,,,,,,,,,,,,,,,
Jan-Mar 1996,"25,826",,,,,,,,,,,,,,,,,,
Apr-Jun 1996,"25,945",,,,,,,,,,,,,,,,,,
Jul-Sep 1996,"26,200",,,,,,,,,,,,,,,,,,
Oct-Dec 1996,"26,254",,,,,,,,,,,,,,,,,,
Jan-Mar 1997,"26,245","6,075","19,956",407,368,"4,370","1,891","3,993","1,342","1,275",743,"1,164",197,"1,498","1,032","1,534","2,143","2,869","1,302"
Apr-Jun 1997,"26,444","6,061","20,234",426,366,"4,343","1,927","3,964","1,362","1,309",773,"1,177",203,"1,529","1,054","1,523","2,122","2,924","1,331"
Jul-Sep 1997,"26,707","6,004","20,558",416,372,"4,420","1,945","4,020","1,399","1,368",774,"1,176",198,"1,547","1,063","1,499","2,051","3,012","1,340"
Oct-Dec 1997,"26,695","6,059","20,490",389,370,"4,385","2,014","4,052","1,401","1,311",799,"1,156",194,"1,527","1,097","1,502","2,090","2,972","1,322"
Jan-Mar 1998,"26,546","6,045","20,371",374,367,"4,317","1,970","3,997","1,372","1,267",829,"1,177",191,"1,556","1,102","1,497","2,131","2,971","1,325"
Apr-Jun 1998,"26,642","6,062","20,469",385,365,"4,360","1,964","3,955","1,405","1,315",826,"1,181",191,"1,537","1,081","1,510","2,164","2,966","1,351"
Jul-Sep 1998,"26,969","6,025","20,819",375,377,"4,392","1,984","3,998","1,469","1,327",846,"1,175",188,"1,585","1,160","1,532","2,092","3,038","1,356"
Oct-Dec 1998,"27,017","6,037","20,848",339,389,"4,320","2,017","4,089","1,485","1,271",878,"1,159",191,"1,618","1,141","1,534","2,191","2,974","1,340"
Jan-Mar 1999,"26,909","6,087","20,690",332,387,"4,260","1,956","4,044","1,440","1,228",896,"1,169",205,"1,651","1,138","1,527","2,283","2,979","1,315"
Apr-Jun 1999,"27,023","6,162","20,735",340,380,"4,185","1,992","4,063","1,431","1,235",915,"1,145",193,"1,639","1,187","1,578","2,313","2,992","1,345"
Jul-Sep 1999,"27,351","6,111","21,109",350,392,"4,243","2,009","4,125","1,480","1,262",939,"1,176",211,"1,663","1,227","1,568","2,238","2,998","1,382"
Oct-Dec 1999,"27,385","6,171","21,065",328,394,"4,198","2,028","4,145","1,471","1,240",954,"1,192",199,"1,654","1,231","1,591","2,290","2,986","1,388"
Jan-Mar 2000,"27,239","6,213","20,907",323,386,"4,099","2,013","4,106","1,472","1,202",970,"1,198",192,"1,642","1,234","1,610","2,373","2,949","1,376"
Apr-Jun 2000,"27,399","6,254","21,024",335,405,"4,066","2,051","4,082","1,475","1,227",995,"1,194",190,"1,651","1,237","1,645","2,349","2,994","1,406"
Jul-Sep 2000,"27,685","6,254","21,301",337,402,"4,062","2,075","4,091","1,533","1,278","1,032","1,240",196,"1,664","1,288","1,685","2,289","3,030","1,401"
Oct-Dec 2000,"27,611","6,366","21,122",326,400,"4,001","2,062","4,087","1,545","1,240","1,056","1,250",208,"1,622","1,260","1,721","2,371","3,000","1,374"
Jan-Mar 2001,"27,505","6,386","20,993",304,417,"3,949","2,046","4,071","1,509","1,208","1,071","1,228",211,"1,652","1,265","1,740","2,372","3,023","1,338"
Apr-Jun 2001,"27,643","6,394","21,141",298,402,"3,919","2,096","4,035","1,531","1,251","1,076","1,217",210,"1,649","1,290","1,782","2,355","3,109","1,328"
Jul-Sep 2001,"27,838","6,280","21,440",312,412,"3,924","2,142","4,075","1,538","1,291","1,089","1,250",212,"1,643","1,347","1,782","2,276","3,088","1,381"
Oct-Dec 2001,"27,860","6,350","21,392",288,408,"3,914","2,150","4,084","1,547","1,282","1,068","1,247",214,"1,681","1,325","1,802","2,345","3,083","1,337"
Jan-Mar 2002,"27,688","6,383","21,188",284,400,"3,826","2,112","4,034","1,547","1,288","1,011","1,243",226,"1,712","1,314","1,804","2,415","3,077","1,317"
Apr-Jun 2002,"27,873","6,460","21,309",279,419,"3,784","2,102","4,067","1,556","1,355",990,"1,267",217,"1,699","1,325","1,810","2,467","3,104","1,358"
Jul-Sep 2002,"28,051","6,470","21,470",274,419,"3,824","2,160","4,134","1,559","1,342","1,012","1,270",217,"1,700","1,307","1,827","2,406","3,131","1,405"
Oct-Dec 2002,"28,164","6,480","21,556",256,409,"3,816","2,182","4,244","1,565","1,306","1,018","1,232",208,"1,744","1,277","1,839","2,475","3,141","1,385"
Jan-Mar 2003,"28,002","6,560","21,299",272,378,"3,654","2,163","4,216","1,547","1,309","1,004","1,252",205,"1,692","1,265","1,860","2,538","3,172","1,404"
Apr-Jun 2003,"28,166","6,549","21,431",260,370,"3,607","2,219","4,218","1,586","1,276","1,010","1,251",207,"1,723","1,230","1,866","2,584","3,218","1,477"
Jul-Sep 2003,"28,366","6,569","21,655",276,379,"3,512","2,300","4,288","1,543","1,339","1,033","1,271",216,"1,717","1,270","1,881","2,549","3,240","1,487"
Oct-Dec 2003,"28,358","6,660","21,553",271,359,"3,432","2,280","4,390","1,529","1,314","1,027","1,238",207,"1,746","1,241","1,888","2,599","3,282","1,480"
Jan-Mar 2004,"28,371","6,783","21,452",261,369,"3,388","2,298","4,243","1,520","1,329","1,044","1,216",228,"1,755","1,255","1,887","2,700","3,336","1,462"
Apr-Jun 2004,"28,407","6,836","21,451",264,377,"3,321","2,314","4,246","1,518","1,318","1,045","1,206",244,"1,722","1,267","1,894","2,722","3,401","1,467"
Jul-Sep 2004,"28,627","6,872","21,636",273,410,"3,394","2,372","4,252","1,525","1,333","1,049","1,201",234,"1,695","1,300","1,951","2,674","3,418","1,457"
Oct-Dec 2004,"28,728","6,880","21,699",271,401,"3,375","2,403","4,326","1,536","1,302","1,028","1,192",242,"1,722","1,323","1,923","2,718","3,420","1,455"
Jan-Mar 2005,"28,705","6,957","21,599",288,401,"3,306","2,397","4,253","1,535","1,302","1,026","1,219",224,"1,735","1,350","1,953","2,733","3,469","1,413"
Apr-Jun 2005,"28,735","6,920","21,695",284,398,"3,336","2,384","4,213","1,558","1,317","1,013","1,210",240,"1,755","1,338","1,938","2,768","3,479","1,431"
Jul-Sep 2005,"29,035","7,021","21,900",283,406,"3,317","2,458","4,239","1,576","1,281","1,024","1,287",248,"1,783","1,325","1,983","2,718","3,571","1,450"
Oct-Dec 2005,"28,938","7,039","21,782",288,415,"3,260","2,410","4,202","1,593","1,267","1,022","1,279",257,"1,818","1,299","1,967","2,755","3,559","1,448"
Jan-Mar 2006,"28,966","7,130","21,735",273,404,"3,242","2,431","4,163","1,564","1,286","1,014","1,270",252,"1,835","1,276","2,020","2,836","3,576","1,426"
Apr-Jun 2006,"29,032","7,096","21,824",268,414,"3,285","2,460","4,117","1,555","1,340","1,024","1,259",263,"1,806","1,280","1,990","2,849","3,579","1,446"
Jul-Sep 2006,"29,289","7,018","22,165",293,424,"3,280","2,510","4,154","1,574","1,382","1,045","1,252",248,"1,824","1,323","1,970","2,758","3,630","1,528"
Oct-Dec 2006,"29,276","6,940","22,216",302,436,"3,234","2,542","4,198","1,585","1,329","1,057","1,270",248,"1,825","1,328","1,962","2,813","3,522","1,508"
Jan-Mar 2007,"29,108","6,954","22,040",288,450,"3,216","2,527","4,120","1,566","1,324","1,056","1,263",257,"1,874","1,304","1,980","2,798","3,500","1,473"
Apr-Jun 2007,"29,242","6,987","22,131",294,464,"3,281","2,544","4,034","1,559","1,371","1,051","1,272",245,"1,883","1,347","1,985","2,823","3,461","1,513"
Jul-Sep 2007,"29,525","6,919","22,466",297,469,"3,269","2,558","4,090","1,556","1,406","1,062","1,304",266,"1,912","1,432","1,990","2,782","3,505","1,512"
Oct-Dec 2007,"29,640","7,018","22,479",307,461,"3,216","2,537","4,187","1,576","1,395","1,019","1,312",279,"1,952","1,399","1,996","2,840","3,531","1,517"
Jan-Mar 2008,"29,596","7,047","22,404",334,452,"3,148","2,535","4,184","1,605","1,382","1,024","1,288",263,"1,939","1,398","2,011","2,847","3,566","1,509"
Apr-Jun 2008,"29,637","7,101","22,383",321,446,"3,087","2,512","4,195","1,590","1,355","1,033","1,287",253,"1,969","1,417","2,035","2,861","3,642","1,519"
Jul-Sep 2008,"29,685","7,039","22,508",313,463,"3,068","2,583","4,248","1,606","1,355","1,063","1,272",259,"1,919","1,404","2,033","2,805","3,648","1,533"
Oct-Dec 2008,"29,593","7,167","22,289",306,507,"2,981","2,564","4,221","1,626","1,335","1,036","1,244",252,"1,849","1,347","2,037","2,848","3,748","1,584"
Jan-Mar 2009,"29,277","7,224","21,913",322,489,"2,857","2,482","4,107","1,571","1,324","1,035","1,227",273,"1,842","1,309","2,009","2,919","3,772","1,579"
Apr-Jun 2009,"29,003","7,238","21,624",311,483,"2,777","2,385","3,989","1,510","1,360","1,015","1,235",268,"1,882","1,301","1,967","2,929","3,739","1,583"
Jul-Sep 2009,"29,170","7,278","21,745",329,491,"2,813","2,311","4,031","1,463","1,428","1,020","1,246",265,"1,890","1,301","1,977","2,960","3,778","1,599"
Oct-Dec 2009,"29,167","7,324","21,691",323,482,"2,799","2,311","4,017","1,455","1,406","1,014","1,223",254,"1,886","1,328","1,944","3,045","3,846","1,579"
Jan-Mar 2010,"28,924","7,255","21,488",336,472,"2,815","2,208","3,943","1,462","1,388","1,011","1,210",263,"1,882","1,319","1,930","3,062","3,824","1,549"
Apr-Jun 2010,"29,110","7,325","21,586",341,463,"2,875","2,207","4,004","1,443","1,461",979,"1,175",262,"1,893","1,326","1,925","3,129","3,848","1,532"
Jul-Sep 2010,"29,484","7,298","21,973",369,474,"2,888","2,234","4,112","1,483","1,503","1,045","1,165",301,"1,852","1,341","1,925","3,120","3,821","1,594"
Oct-Dec 2010,"29,390","7,278","21,929",366,489,"2,902","2,238","4,082","1,436","1,427","1,030","1,171",300,"1,882","1,379","1,867","3,120","3,884","1,555"
Jan-Mar 2011,"29,350","7,315","21,842",357,497,"2,860","2,212","4,034","1,451","1,417","1,059","1,179",299,"1,857","1,299","1,875","3,121","3,967","1,544"
Apr-Jun 2011,"29,367","7,183","22,021",342,521,"2,868","2,198","4,051","1,445","1,458","1,073","1,173",308,"1,851","1,321","1,844","3,129","3,931","1,587"
Jul-Sep 2011,"29,376","7,009","22,216",370,519,"2,841","2,237","4,019","1,428","1,498","1,061","1,192",300,"1,888","1,339","1,852","2,986","3,981","1,639"
Oct-Dec 2011,"29,405","6,970","22,276",357,527,"2,884","2,172","4,078","1,432","1,499","1,083","1,215",293,"1,898","1,353","1,864","3,021","3,927","1,583"
Jan-Mar 2012,"29,365","6,952","22,209",374,534,"2,851","2,148","4,017","1,430","1,438","1,124","1,199",333,"1,903","1,369","1,847","3,088","3,865","1,554"
Apr-Jun 2012,"29,587","6,846","22,517",353,532,"2,921","2,171","4,103","1,416","1,496","1,098","1,229",328,"1,945","1,357","1,803","3,078","3,871","1,574"
Jul-Sep 2012,"29,851","6,883","22,722",356,547,"2,934","2,175","4,129","1,457","1,527","1,113","1,216",329,"1,983","1,372","1,827","3,021","3,948","1,607"
Oct-Dec 2012,"29,974","6,984","22,752",316,518,"2,911","2,150","4,105","1,482","1,523","1,146","1,169",346,"1,968","1,376","1,824","3,140","3,992","1,592"
Jan-Mar 2013,"29,750","6,989","22,504",304,537,"2,921","2,102","4,031","1,487","1,504","1,161","1,150",344,"2,000","1,354","1,852","3,114","3,985","1,587"
Apr-Jun 2013,"29,861","6,965","22,638",308,526,"2,868","2,155","4,021","1,456","1,504","1,162","1,144",344,"2,024","1,423","1,864","3,103","4,029","1,591"
Jul-Sep 2013,"30,194","7,012","22,933",324,510,"2,954","2,188","3,999","1,520","1,566","1,177","1,178",326,"2,073","1,450","1,880","3,081","4,036","1,642"
Oct-Dec 2013,"30,362","6,904","23,226",322,511,"2,957","2,200","4,097","1,543","1,555","1,198","1,172",341,"2,096","1,437","1,817","3,094","4,068","1,639"
Jan-Mar 2014,"30,446","6,934","23,311",379,508,"2,945","2,229","4,063","1,490","1,579","1,150","1,171",369,"2,169","1,388","1,851","3,107","4,076","1,663"
Apr-Jun 2014,"30,628","6,936","23,497",395,511,"2,997","2,217","3,994","1,467","1,633","1,174","1,158",359,"2,141","1,441","1,806","3,218","4,105","1,693"
Jul-Sep 2014,"30,918","6,914","23,808",386,543,"3,019","2,242","3,976","1,470","1,665","1,237","1,207",340,"2,139","1,487","1,853","3,197","4,062","1,781"
Oct-Dec 2014,"31,018","6,901","23,914",375,537,"3,077","2,268","4,124","1,479","1,594","1,250","1,182",339,"2,136","1,452","1,798","3,233","4,142","1,753"
Jan-Mar 2015,"31,074","6,980","23,915",348,567,"3,007","2,266","4,066","1,512","1,618","1,276","1,185",334,"2,189","1,414","1,845","3,285","4,170","1,765"
Apr-Jun 2015,"31,035","6,929","23,913",340,552,"3,016","2,196","3,998","1,537","1,663","1,243","1,222",339,"2,146","1,499","1,831","3,265","4,155","1,756"
Jul-Sep 2015,"31,416","6,851","24,377",349,553,"2,968","2,223","4,095","1,576","1,698","1,275","1,254",348,"2,173","1,539","1,841","3,266","4,162","1,812"
Oct-Dec 2015,"31,615","6,900","24,528",383,546,"2,992","2,264","4,207","1,610","1,638","1,261","1,279",347,"2,204","1,563","1,878","3,329","4,130","1,756"
Jan-Mar 2016,"31,499","6,924","24,414",351,528,"3,008","2,271","4,131","1,608","1,663","1,225","1,262",358,"2,243","1,525","1,856","3,357","4,143","1,744"
Apr-Jun 2016,"31,673","6,939","24,564",337,519,"3,034","2,315","4,167","1,609","1,707","1,207","1,269",356,"2,294","1,496","1,898","3,300","4,158","1,773"
Jul-Sep 2016,"31,890","6,908","24,830",357,516,"3,013","2,290","4,253","1,638","1,766","1,302","1,260",354,"2,250","1,511","1,936","3,336","4,100","1,809"
Oct-Dec 2016,"31,920","6,853","24,898",375,528,"2,948","2,316","4,226","1,603","1,768","1,321","1,196",352,"2,350","1,530","1,964","3,284","4,148","1,789"
Jan-Mar 2017,"31,878","6,840","24,876",381,539,"2,908","2,336","4,136","1,560","1,747","1,323","1,195",370,"2,341","1,551","1,952","3,305","4,234","1,768"
Apr-Jun 2017,"31,996","6,874","24,998",374,538,"2,915","2,327","4,220","1,554","1,807","1,340","1,194",345,"2,330","1,573","1,968","3,263","4,187","1,840"
Jul-Sep 2017,"32,138","6,841","25,176",352,527,"2,950","2,367","4,195","1,605","1,784","1,273","1,234",343,"2,331","1,589","2,001","3,266","4,184","1,907"
Oct-Dec 2017,"32,230","6,833","25,271",375,561,"2,951","2,330","4,323","1,580","1,727","1,242","1,241",355,"2,366","1,592","1,999","3,247","4,224","1,882"
Jan-Mar 2018,"32,277","6,970","25,191",354,587,"2,922","2,332","4,258","1,572","1,718","1,312","1,256",372,"2,363","1,555","2,097","3,236","4,266","1,835"
Apr-Jun 2018,"32,321","6,949","25,254",350,585,"2,887","2,333","4,225","1,626","1,791","1,317","1,277",346,"2,425","1,568","2,057","3,225","4,224","1,856"
Jul-Sep 2018,"32,503","6,986","25,401",334,584,"2,881","2,341","4,198","1,627","1,775","1,305","1,383",353,"2,417","1,567","2,128","3,296","4,277","1,796"
Oct-Dec 2018,"32,671","7,039","25,530",343,600,"2,901","2,405","4,118","1,602","1,739","1,290","1,373",397,"2,432","1,592","2,134","3,377","4,340","1,775"
