"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TE","Total employment","A","Annual","1985","1985","HOUR","Hours","0","Units",,,1876,,
"AUS","Australia","TE","Total employment","A","Annual","1986","1986","HOUR","Hours","0","Units",,,1877,,
"AUS","Australia","TE","Total employment","A","Annual","1987","1987","HOUR","Hours","0","Units",,,1889,,
"AUS","Australia","TE","Total employment","A","Annual","1988","1988","HOUR","Hours","0","Units",,,1885,,
"AUS","Australia","TE","Total employment","A","Annual","1989","1989","HOUR","Hours","0","Units",,,1875,,
"AUS","Australia","TE","Total employment","A","Annual","1990","1990","HOUR","Hours","0","Units",,,1853,,
"AUS","Australia","TE","Total employment","A","Annual","1991","1991","HOUR","Hours","0","Units",,,1854.03811915011,,
"AUS","Australia","TE","Total employment","A","Annual","1992","1992","HOUR","Hours","0","Units",,,1845.6043379902,,
"AUS","Australia","TE","Total employment","A","Annual","1993","1993","HOUR","Hours","0","Units",,,1855.74418600485,,
"AUS","Australia","TE","Total employment","A","Annual","1994","1994","HOUR","Hours","0","Units",,,1874.22702595268,,
"AUS","Australia","TE","Total employment","A","Annual","1995","1995","HOUR","Hours","0","Units",,,1870.3078803203,,
"AUS","Australia","TE","Total employment","A","Annual","1996","1996","HOUR","Hours","0","Units",,,1861.51681141638,,
"AUS","Australia","TE","Total employment","A","Annual","1997","1997","HOUR","Hours","0","Units",,,1860.84842865841,,
"AUS","Australia","TE","Total employment","A","Annual","1998","1998","HOUR","Hours","0","Units",,,1849.88192272734,,
"AUS","Australia","TE","Total employment","A","Annual","1999","1999","HOUR","Hours","0","Units",,,1856.07991967208,,
"AUS","Australia","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1852.16221330258,,
"AUS","Australia","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1828.68534985625,,
"AUS","Australia","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1817.95614415663,,
"AUS","Australia","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1806.50344082021,,
"AUS","Australia","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1811.39604830845,,
"AUS","Australia","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1807.90422039924,,
